country,discipline,Gold_Medals
"Puerto Rico",Wrestling,0
"Puerto Rico",Athletics,0
Qatar,Athletics,0
"Republic of Moldova","Canoe Sprint",0
"Republic of Moldova",Wrestling,0
"Republic of Moldova",Judo,0
Romania,Rowing,11
Romania,Swimming,1
Romania,Weightlifting,0
Romania,"Artistic Gymnastics",0
"Saint Lucia",Athletics,1
Serbia,"Water Polo",13
Serbia,Shooting,2
Serbia,Tennis,1
Serbia,Taekwondo,0
Serbia,Basketball,0
Singapore,Sailing,0
Slovakia,"Canoe Slalom",0
Slovenia,"Sport Climbing",1
Slovenia,Judo,1
Slovenia,Sailing,0
"South Africa",Swimming,1
"South Africa","Cycling Mountain Bike",0
"South Africa",Athletics,0
"South Africa","Rugby Sevens",0
Spain,Football,22
Spain,"Water Polo",13
Spain,Athletics,3
Spain,Sailing,2
Spain,"3x3 Basketball",0
Spain,"Canoe Slalom",0
Spain,"Canoe Sprint",0
Spain,Judo,0
Spain,Boxing,0
Spain,"Artistic Swimming",0
Spain,Tennis,0
Spain,Handball,0
Sweden,Swimming,2
Sweden,"Beach Volleyball",2
Sweden,Athletics,1
Sweden,"Table Tennis",0
Sweden,"Cycling Mountain Bike",0
Sweden,Sailing,0
Sweden,Judo,0
Sweden,Shooting,0
Switzerland,Shooting,1
Switzerland,"Cycling BMX Racing",0
Switzerland,Triathlon,0
Switzerland,Rowing,0
Switzerland,Swimming,0
Switzerland,Equestrian,0
Switzerland,"Beach Volleyball",0
Tajikistan,Judo,0
Tajikistan,Boxing,0
Thailand,Taekwondo,1
Thailand,Badminton,0
Thailand,Boxing,0
Thailand,Weightlifting,0
Tunisia,Taekwondo,1
Tunisia,Fencing,0
Türkiye,Archery,0
Türkiye,Shooting,0
Türkiye,Taekwondo,0
Türkiye,Boxing,0
Türkiye,Wrestling,0
Uganda,Athletics,1
Ukraine,Fencing,4
Ukraine,Boxing,1
Ukraine,Athletics,1
Ukraine,"Artistic Gymnastics",0
Ukraine,Wrestling,0
Ukraine,Shooting,0
"United States",Athletics,30
"United States",Swimming,27
"United States",Basketball,24
"United States",Football,20
"United States","Cycling Track",7
"United States","Artistic Gymnastics",7
"United States",Fencing,5
"United States",Rowing,4
"United States",Wrestling,2
"United States",Shooting,1
"United States",Golf,1
"United States",Weightlifting,1
"United States","Cycling Road",1
"United States",Surfing,1
"United States",Sailing,0
"United States",Volleyball,0
"United States","Cycling Mountain Bike",0
"United States","Artistic Swimming",0
"United States",Boxing,0
"United States",Diving,0
"United States","Rugby Sevens",0
"United States",Skateboarding,0
"United States",Tennis,0
"United States","Canoe Slalom",0
"United States","Cycling BMX Freestyle",0
"United States","Sport Climbing",0
"United States","Canoe Sprint",0
"United States",Taekwondo,0
"United States","3x3 Basketball",0
"United States",Archery,0
"United States",Triathlon,0
"United States",Breaking,0
"United States",Equestrian,0
"United States","Water Polo",0
Uzbekistan,Boxing,5
Uzbekistan,Taekwondo,1
Uzbekistan,Judo,1
Uzbekistan,Wrestling,1
Uzbekistan,Weightlifting,0
Zambia,Athletics,0
